mileage,exterior,interior,vin,price,price_type,condition,year,make,model
3,Bright Blue Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S09P4186037,32275,MSRP,New,2023,Chevrolet,Bolt EUV LT
2,Mosaic Black Metallic,"Jet Black, Cloth seat trim",1G1FY6S08P4202177,29290,MSRP,New,2023,Chevrolet,Bolt EUV LT
3,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S07P4185968,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
2,Silver Flare Metallic,"Jet Black, Cloth seat trim",1G1FY6S06P4202162,29290,MSRP,New,2023,Chevrolet,Bolt EUV LT
2,Gray Ghost Metallic,"Jet Black, Cloth seat trim",1G1FY6S06P4202159,29290,MSRP,New,2023,Chevrolet,Bolt EUV LT
4,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S06P4185959,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
3,Gray Ghost Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S04P4186141,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
5,Ice Blue Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S03P4186034,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
5,Summit White,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S02P4181147,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
2,Summit White,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S01P4186064,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT Redline
4,Radiant Red Tintcoat,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S00P4186136,32375,MSRP,New,2023,Chevrolet,Bolt EUV LT
3,Summit White,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S00P4186055,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
2,Summit White,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S0XP4203379,32180,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Gray Ghost Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S08P4206796,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
2,Mosaic Black Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S08P4203090,32180,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Mosaic Black Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S07P4206627,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Silver Flare Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S06P4206781,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Summit White,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S04P4207962,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Silver Flare Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S03P4206835,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
2,Gray Ghost Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S01P4203206,32180,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Gray Ghost Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FX6S00P4206808,30990,MSRP,New,2023,Chevrolet,Bolt EV 2LT
0,Black,"Black/Adrenaline Red, Perforated suede/Evotex seat trim",3GNKDCRJXRS186606,60814,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Sterling Gray Metallic,"Black, Perforated suede/Evotex seat trim",3GNKDCRJ5RS186609,60814,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Galaxy Gray Metallic,"Black, Perforated suede/Evotex seat trim",3GNKDCRJ3RS186608,60814,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Summit White,"Black/Adrenaline Red, Perforated suede/Evotex seat trim",3GNKDCRJ1RS186607,60814,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Radiant Red Tintcoat,"Black, Perforated suede/Evotex seat trim",3GNKDCRJ1RS184632,61309,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Black,"Black, Perforated suede/Evotex seat trim",3GNKDCRJ0RS167918,60215,MSRP,New,2024,Chevrolet,Blazer EV RS
0,Black,"Black, Evotex seat trim",3GNKDBRJ4RS192606,58814,MSRP,New,2024,Chevrolet,Blazer EV LT
0,Sterling Gray Metallic,"Jet Black with Red Accents, Premium Cloth seat trim",3GNAXMEGXRS189993,32385,MSRP,New,2024,Chevrolet,Equinox RS
0,Lakeshore Blue Metallic,"Medium Ash Gray, Premium Cloth seat trim",3GNAXHEG4RL207860,30070,MSRP,New,2024,Chevrolet,Equinox LS
0,Slate Gray Metallic,"Jet Black, Cloth seat trim",3GCUDCED6RG172111,57320,MSRP,New,2024,Chevrolet,Silverado 1500 Custom Trail Boss
0,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPDBEKXRG171842,51815,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Lakeshore Blue Metallic,"Jet Black, Cloth seat trim",3GCPDBEK7RG164637,51265,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Black,"Jet Black, Cloth seat trim",3GCPDBEK5RG171845,52815,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Slate Gray Metallic,"Jet Black, Cloth seat trim",3GCPDBEK5RG161235,51325,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Black,"Jet Black, Cloth seat trim",3GCPDBEK2RG161225,51060,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Black,"Jet Black, Cloth seat trim",3GCPABEKXRG162017,48340,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Summit White,"Jet Black, Cloth seat trim",3GCPABEKXRG161840,47195,MSRP,New,2024,Chevrolet,Silverado 1500 Custom
0,Lakeshore Blue Metallic,"Jet Black, Cloth seat trim",2GCUDEEDXR1175078,61800,MSRP,New,2024,Chevrolet,Silverado 1500 RST
0,Black,"Gideon/Very Dark Atmosphere, Cloth seat trim",2GCUDEED4R1173973,60935,MSRP,New,2024,Chevrolet,Silverado 1500 RST
7,Summit White,"Jet Black, Perforated leather-appointed front outboard seat trim",2GC4YPEY5R1135011,82905,MSRP,New,2024,Chevrolet,Silverado 2500 HD LTZ
4,Black,"Jet Black, Cloth seat trim",2GC4YMEY5R1161431,68310,MSRP,New,2024,Chevrolet,Silverado 2500 HD Custom
4,Summit White,"Jet Black, Vinyl seat trim",2GC4YLE77R1165899,57660,MSRP,New,2024,Chevrolet,Silverado 2500 HD WT
3,Sterling Gray Metallic,"Jet Black, Cloth seat trim",2GC4YLE71R1160875,54855,MSRP,New,2024,Chevrolet,Silverado 2500 HD WT
13,Black,"Jet Black, Cloth seat trim",2GC1YNEY0R1123632,71605,MSRP,New,2024,Chevrolet,Silverado 2500 HD LT
4,Iridescent Pearl Tricoat,"Jet Black/Umber, Perforated Leather Seating surfaces",1GC4YVEY2RF235659,93490,MSRP,New,2024,Chevrolet,Silverado 3500 HD High Country DRW
6,Sterling Gray Metallic,"Jet Black, Leather-appointed front outboard seat trim",1GC4YNE74RF285762,63500,MSRP,New,2024,Chevrolet,Silverado 2500 HD LT
2,Arctic White,"Jet Black, Napa leather seating surfaces with perforated sueded microfiber inserts",1G1YC3D43R5104452,100570,MSRP,New,2024,Chevrolet,Corvette Stingray 3LT
0,Sharkskin Metallic,"Jet Black, seat trim",1G1FB1RSXR0122871,37035,MSRP,New,2024,Chevrolet,Camaro 1LT
0,Radiant Red Tintcoat,"Jet Black, seat trim",1G1FB1RSXR0122174,37530,MSRP,New,2024,Chevrolet,Camaro 1LT
1,Mosaic Black Metallic,"Jet Black with Red accents, Cloth with Leatherette seat trim",KL79MUSL0PB174138,29215,Value Price,New,2023,Chevrolet,Trailblazer RS
13,Fountain Blue,"Jet Black with Red accents, Cloth with Leatherette seat trim",KL79MUSL3PB191418,33000,Value Price,New,2023,Chevrolet,Trailblazer RS
10,Black,"Jet Black, Perforated Leather-Appointed seat trim",3GNKBDRS7PS213102,41790,Value Price,New,2023,Chevrolet,Blazer 3LT
70,Summit White,"Jet Black, Premium Cloth seat trim",3GNKBCR4XPS221318,36470,Value Price,New,2023,Chevrolet,Blazer 2LT
1,Black,"Jet Black/Nightshift Blue, Perforated leather seating surfaces",3GCUDJE82PG348365,68345,Value Price,New,2023,Chevrolet,Silverado 1500 High Country
4,Black,"Jet Black, Perforated leather-appointed front outboard seating positions",3GCUDGE86PG298413,60435,Value Price,New,2023,Chevrolet,Silverado 1500 LTZ
47,Glacier Blue Metallic,"Jet Black, Cloth seat trim",3GCUDEE83PG210339,54505,Value Price,New,2023,Chevrolet,Silverado 1500 RST
3,Dark Ash Metallic,"Jet Black, Cloth seat trim",3GCUDCED7PG280198,51815,Value Price,New,2023,Chevrolet,Silverado 1500 Custom Trail Boss
1,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCUDCED3PG279131,51815,Value Price,New,2023,Chevrolet,Silverado 1500 Custom Trail Boss
142,Summit White,"Jet Black, Cloth seat trim",3GCUDAED3PG324444,48690,Value Price,New,2023,Chevrolet,Silverado 1500 WT
145,Summit White,"Jet Black, Cloth seat trim",3GCUDAED1PG324443,48690,Value Price,New,2023,Chevrolet,Silverado 1500 WT
1,Summit White,"Jet Black, Cloth seat trim",3GCPDCEK9PG301421,47190,Value Price,New,2023,Chevrolet,Silverado 1500 Custom Trail Boss
3,Summit White,"Jet Black, Vinyl seat trim",2GCPAAED6P1150271,42275,Value Price,New,2023,Chevrolet,Silverado 1500 WT
13,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKHPVM6PH300257,69935,Value Price,New,2023,Chevrolet,Silverado 6500 HD Work Truck
9,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKHPVK7PH056682,61420,Value Price,New,2023,Chevrolet,Silverado 4500 HD Work Truck
1,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKHPVK3PH290527,60445,Value Price,New,2023,Chevrolet,Silverado 4500 HD Work Truck
1,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKHPVK3PH148579,64620,Value Price,New,2023,Chevrolet,Silverado 5500 HD Work Truck
6,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKHPVK2PH471473,60070,Value Price,New,2023,Chevrolet,Silverado 4500 HD Work Truck
161,Summit White,"Jet Black, Cloth seat trim",1HTKHPVK1PH268896,72750,Value Price,New,2023,Chevrolet,Silverado 5500 HD Work Truck
3,Summit White,"Jet Black, Cloth seat trim",1HTKHPVK0PH513719,68202,Value Price,New,2023,Chevrolet,Silverado 4500 HD LT
3,Summit White,"Jet Black/Spice Red, Perforated leather-appointed seat trim",1GNEVJKW2PJ314713,46795,Value Price,New,2023,Chevrolet,Traverse RS
3,Sterling Gray Metallic,"Jet Black/Spice Red, Perforated leather-appointed seat trim",1GNEVJKW1PJ314959,46795,Value Price,New,2023,Chevrolet,Traverse RS
146,Mosaic Black Metallic,"Jet Black/Clove, Perforated leather-appointed seat trim",1GNERNKW8PJ233470,51895,Value Price,New,2023,Chevrolet,Traverse High Country
3,Sterling Gray Metallic,"Jet Black/Chai, Premium cloth seat trim",1GNERFKW7PJ335168,35310,Value Price,New,2023,Chevrolet,Traverse LS
15,Dark Ash Metallic,"Jet Black, Cloth seat trim",1GCUDEE8XPZ313435,54305,Value Price,New,2023,Chevrolet,Silverado 1500 RST
77,Radiant Red Tintcoat,"Jet Black, Cloth seat trim",1GCUDEE81PZ318958,55495,Value Price,New,2023,Chevrolet,Silverado 1500 RST
147,Summit White,"Jet Black, Cloth seat trim",1GB3WREY3PF251086,56343,Value Price,New,2023,Chevrolet,Silverado 3500 HD Chassis Cab Work Truck
1,Summit White,"Jet Black, Cloth seat trim",1GB1YNE74PF260915,54158,Value Price,New,2023,Chevrolet,Silverado 2500 HD LT
14,Sterling Gray Metallic,"Jet Black/Medium Gray, Premium Cloth seat trim",3GNKBCR46RS136866,37190,Value Price,New,2024,Chevrolet,Blazer 2LT
11,Radiant Red Tintcoat,"Jet Black with Red Accents, Premium Cloth seat trim",3GNAXMEG4RS106056,34535,Value Price,New,2024,Chevrolet,Equinox RS
1,Summit White,"Jet Black, Premium Cloth seat trim",3GNAXKEG2RS154899,31090,Value Price,New,2024,Chevrolet,Equinox LT
8,Summit White,"Jet Black/Graystone, Perforated leather seating surfaces",3GCUDHEL1RG150120,75255,Value Price,New,2024,Chevrolet,Silverado 1500 ZR2
1,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPDEEK4RG186564,56105,Value Price,New,2024,Chevrolet,Silverado 1500 RST
8,Lakeshore Blue Metallic,"Jet Black, Cloth seat trim",3GCPDBEK6RG164631,50065,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
11,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPDBEK3RG164635,48590,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
12,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPDBEK0RG164639,49515,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
8,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPDBEK0RG164625,49515,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
8,Slate Gray Metallic,"Jet Black, Cloth seat trim",3GCPABEK8RG161822,44795,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
8,Sterling Gray Metallic,"Jet Black, Cloth seat trim",3GCPABEK6RG161821,44795,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
8,Summit White,"Jet Black, Cloth seat trim",3GCPABEK4RG161848,45445,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
9,Summit White,"Jet Black, Cloth seat trim",3GCNAAEK6RG120476,38665,Value Price,New,2024,Chevrolet,Silverado 1500 WT
7,Black,"Jet Black, Cloth seat trim",2GCUDEEDXR1173413,59860,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Slate Gray Metallic,"Jet Black, Leather-appointed front outboard seating positions",1GCUDEED9RZ188430,60485,Value Price,New,2024,Chevrolet,Silverado 1500 RST
4,Radiant Red Tintcoat,"Jet Black, Cloth seat trim",1GCUDEED9RZ186919,59925,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Slate Gray Metallic,"Jet Black, Cloth seat trim",1GCUDEED8RZ188550,59430,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Sterling Gray Metallic,"Jet Black, Cloth seat trim",1GCUDEED6RZ182276,59430,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Summit White,"Gideon/Very Dark Atmosphere, Leather-appointed front outboard seating positions",1GCUDEED6RZ182150,60485,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Sterling Gray Metallic,"Jet Black, Cloth seat trim",1GCUDEED3RZ182042,60080,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Dark Ash Metallic,"Jet Black, Cloth seat trim",1GCUDEED2RZ187717,58435,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Radiant Red Tintcoat,"Jet Black, Cloth seat trim",1GCUDDED6RZ187293,59875,Value Price,New,2024,Chevrolet,Silverado 1500 LT
2,Summit White,"Jet Black, Cloth seat trim",1GCUDDED2RZ182107,57735,Value Price,New,2024,Chevrolet,Silverado 1500 LT
2,Radiant Red Tintcoat,"Jet Black, Cloth seat trim",1GCPADED4RZ186956,56410,Value Price,New,2024,Chevrolet,Silverado 1500 RST
2,Summit White,"Jet Black, Cloth seat trim",1GCPABEK8RZ189765,46270,Value Price,New,2024,Chevrolet,Silverado 1500 Custom
67891,Silver,Black,WBA7E2C54GG547368,26990,Value Price,Pre-Owned,2016,BMW,7 Series 740i
57198,White,Black,WBA5R1C09LFH39561,24749,Value Price,Pre-Owned,2020,BMW,3 Series 330i
63671,White,Black,5UXTY3C07L9B06529,27695,Value Price,Pre-Owned,2020,BMW,X3 sDrive30i
16748,Black,Black,1GTG6CEN5K1295015,32862,Value Price,Pre-Owned,2019,GMC,Canyon SLE1
59780,Red,Black,KNAE55LC7J6010921,28996,Value Price,Pre-Owned,2018,Kia,Stinger GT2
120580,White,Gray,3C6TRVDG5EE105324,21877,Value Price,Pre-Owned,2014,Ram,ProMaster 2500 High Roof
34765,White,Black,1C6RR7KT9KS629722,29500,Value Price,Pre-Owned,2019,Ram,1500 Classic Express
27116,Black,Black,1C6SRFJT1MN509850,43500,Value Price,Pre-Owned,2021,Ram,1500 Laramie
55452,White,Diesel Gray/Black,1C6SRFFT7MN523888,37880,Value Price,Pre-Owned,2021,Ram,1500 Big Horn/Lone Star
50513,White,Diesel Gray/Black,3C6UR5DL3NG235723,48988,Value Price,Pre-Owned,2022,Ram,2500 Big Horn
7443,White,Black,3C6JR6DG4NG412811,26959,Value Price,Pre-Owned,2022,Ram,1500 Classic Tradesman
5786,White,Black,3C6JR6DG0NG427208,26998,Value Price,Pre-Owned,2022,Ram,1500 Classic Tradesman
7486,Gray,Black,1C6RREMT4NN291277,40950,Value Price,Pre-Owned,2022,Ram,1500 Big Horn/Lone Star
54495,White,Black,1C6RREBT5NN274118,32996,Value Price,Pre-Owned,2022,Ram,1500 Big Horn/Lone Star
61194,Gray,,WA1GCCFS3HR015089,21998,Value Price,Pre-Owned,2017,Audi,Q3 2.0T Prestige
23284,White,Black,WAUL2AF27LN083808,38998,Value Price,Pre-Owned,2020,Audi,A6 3.0T Premium Plus
32165,Blue,Black,WAUBEGFF7LA089222,24997,Value Price,Pre-Owned,2020,Audi,A3 2.0T Premium
60222,White,Black,WAUDACF59MA017556,27647,Value Price,Pre-Owned,2021,Audi,A5 45 S line Premium
188414,White,Medium Stone,1FTPX14V99KA74413,8500,Value Price,Pre-Owned,2009,Ford,F-150 XLT
132569,White,Medium Flint,1FBNE3BLXADA31707,14750,Value Price,Pre-Owned,2010,Ford,E-350SD XLT
281863,White,Gray,1FT7W2BT1CEA25688,16900,Value Price,Pre-Owned,2012,Ford,F-250SD XLT
121331,Silver,Charcoal Black,3FA6P0H74FR196580,10000,Value Price,Pre-Owned,2015,Ford,Fusion SE
110365,White,Ebony,1FATP8EM8F5418875,13989,Value Price,Pre-Owned,2015,Ford,Mustang V6
191208,White,,1FTRS4UG7GKB02913,19995,Value Price,Pre-Owned,2016,Ford,Transit-350 Base
97390,White,Tan,1FT8W3BT7GEC51945,41500,Value Price,Pre-Owned,2016,Ford,F-350SD Lariat
117788,White,Gray,1FTBF2B65HEC25257,28978,Value Price,Pre-Owned,2017,Ford,F-250SD XL
153489,Blue,Charcoal Black,1FADP5AU8HL119071,9980,Value Price,Pre-Owned,2017,Ford,C-Max Hybrid SE
61351,Gray,Black,1FTEW1EG4JKD09931,31978,Value Price,Pre-Owned,2018,Ford,F-150 XLT
44438,White,Ebony,NM0LS7E23K1398020,26988,Value Price,Pre-Owned,2019,Ford,Transit Connect XL
72765,Gray,Charcoal Black,2FMHK6D85KBA35209,22974,Value Price,Pre-Owned,2019,Ford,Flex Limited
83238,White,Medium Earth Gray,1FT7W2BT0KEC88866,47885,Value Price,Pre-Owned,2019,Ford,F-250SD XLT
84884,Black,Charcoal Black,1FBAX2CG4KKA93878,46899,Value Price,Pre-Owned,2019,Ford,Transit-350 XLT
60033,White,,3FA6P0CD1LR206894,19577,Value Price,Pre-Owned,2020,Ford,Fusion SEL
36389,Blue,Ceramic,2FMPK4K95LBB03134,26501,Value Price,Pre-Owned,2020,Ford,Edge Titanium
51029,White,gray,1FTBR1Y82LKB73266,37889,Value Price,Pre-Owned,2020,Ford,Transit-250 Base
37978,White,Medium Earth Gray,1FT7W2BT6LED35187,52560,Value Price,Pre-Owned,2020,Ford,F-250SD XLT
14061,White,gray,1FTBR1Y83MKA69290,42750,Value Price,Pre-Owned,2021,Ford,Transit-250 Base
46643,Gray,Sandstone,1FMSK7BH3MGA06043,26988,Value Price,Pre-Owned,2021,Ford,Explorer Base
48670,White,Medium Flint,1FDXE4FN4NDC00885,55000,Value Price,Pre-Owned,2022,Ford,E-450SD Base
7163,White,Desert Brown,3FTTW8F93PRA11326,39988,Value Price,Pre-Owned,2023,Ford,Maverick Lariat
95,Blue,Desert Brown,3FTTW8E38PRA84589,39900,Value Price,Pre-Owned,2023,Ford,Maverick Lariat
343,Silver,Desert Brown,3FTTW8E32PRA90520,37968,Value Price,Pre-Owned,2023,Ford,Maverick Lariat
306,Blue,Navy Pier/Medium Slate,3FTTW8E31PRA44788,34995,Value Price,Pre-Owned,2023,Ford,Maverick XLT
30,Gray,Blk Onyx,3FMTK1RM8PMA14525,43250,Value Price,Pre-Owned,2023,Ford,Mustang Mach-E Select
71266,Gray,Black,1C4RJFDJ8HC914565,43980,Value Price,Pre-Owned,2017,Jeep,Grand Cherokee SRT
67326,White,Black,1C4RJEBG8HC805086,20895,Value Price,Pre-Owned,2017,Jeep,Grand Cherokee Limited
35955,Gray,Black,ZACCJBCB1JPH87426,20488,Value Price,Pre-Owned,2018,Jeep,Renegade Trailhawk
43061,Gray,Black,1C4HJXFN1KW505301,41920,Value Price,Pre-Owned,2019,Jeep,Wrangler Unlimited Rubicon
29945,Red,Black,1C4RJEAG9LC338089,28991,Value Price,Pre-Owned,2020,Jeep,Grand Cherokee Altitude
61431,White,Ruby Red/Black,3C4NJDDB0MT553522,21344,Value Price,Pre-Owned,2021,Jeep,Compass Trailhawk
60778,Silver,Black,1C4RJEBG3MC678919,24996,Value Price,Pre-Owned,2021,Jeep,Grand Cherokee Limited
46,White,Global Black,1C4RJYC67N8756338,53998,Value Price,Pre-Owned,2022,Jeep,Grand Cherokee Trailhawk 4xe
52,White,Global Black,1C4RJYC64N8746821,53998,Value Price,Pre-Owned,2022,Jeep,Grand Cherokee Trailhawk 4xe
1102,Gray,Black,1C4JJXR65PW590382,49998,Value Price,Pre-Owned,2023,Jeep,Wrangler Rubicon 4xe
3539,Red,Black,2C3CDXHG4NH192753,29500,Value Price,Pre-Owned,2022,Dodge,Charger GT
20026,Black,Black,2C3CDXHG1NH189485,29669,Value Price,Pre-Owned,2022,Dodge,Charger GT
153473,White,Gray,JHMGE8H67CC007486,9500,Value Price,Pre-Owned,2012,Honda,Fit Sport
40191,Gray,Black,5J6RM3H9XGL007752,22069,Value Price,Pre-Owned,2016,Honda,CR-V Touring
79088,White,Black,1HGCV1F37JA169046,19988,Value Price,Pre-Owned,2018,Honda,Accord Sport
44558,White,Tan,5FNRL6H96KB010220,23889,Value Price,Pre-Owned,2019,Honda,Odyssey Elite
22335,Gray,Black,1HGCV1F18MA008854,24500,Value Price,Pre-Owned,2021,Honda,Accord LX
32661,White,Black,JTHSM5BC7G5000364,29990,Value Price,Pre-Owned,2016,Lexus,RC 300
64649,White,F SPORT Black,JTJJARBZ1L2160475,29990,Value Price,Pre-Owned,2020,Lexus,NX 300 F Sport
37680,Silver,Black,JM1DKFC7XH0144867,19699,Value Price,Pre-Owned,2017,Mazda,CX-3 Touring
47713,Black,White,5YJ3E1EB8JF110683,29476,Value Price,Pre-Owned,2018,Tesla,Model 3 Long Range
