game_id,player_name,player_id,position,team_abbr,starter_flg,mp,fg,fgm,fga,fg3,fg3m,fg3a,ft,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,pts,dnp_reason
401585105,Khris Middleton,6609,SF,MIL,true,15.0,5-8,5.0,8.0,2-3,2.0,3.0,0-0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,1.0,0.0,7.0,12.0,None
401585105,Brook Lopez,3448,C ,MIL,true,33.0,4-10,4.0,10.0,1-5,1.0,5.0,0-0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,3.0,4.0,4.0,8.0,9.0,None
401585106,Andrew Wiggins,3059319,SF,GS,false,27.0,5-10,5.0,10.0,1-4,1.0,4.0,0-0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,-14.0,11.0,None
401585106,Brandin Podziemski,4709138,G ,GS,false,28.0,5-10,5.0,10.0,3-4,3.0,4.0,0-0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,2.0,-2.0,13.0,None
401585105,Devin Vassell,4395630,SG,SA,true,35.0,14-21,14.0,21.0,6-9,6.0,9.0,0-0,0.0,0.0,1.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,-10.0,34.0,None
401585106,Chris Paul,2779,PG,GS,true,30.0,4-7,4.0,7.0,1-3,1.0,3.0,0-1,0.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,9.0,None
401585106,Kevon Looney,3155535,F ,GS,true,22.0,3-4,3.0,4.0,0-0,0.0,0.0,1-1,1.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,5.0,-2.0,7.0,None
401585105,Pat Connaughton,2578239,SG,MIL,false,28.0,2-4,2.0,4.0,2-4,2.0,4.0,1-2,1.0,2.0,1.0,5.0,6.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,None
401585105,Bobby Portis,3064482,F ,MIL,false,21.0,2-6,2.0,6.0,0-2,0.0,2.0,1-2,1.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,3.0,-8.0,5.0,None
401585106,Dario Saric,3032978,PF,GS,false,23.0,5-7,5.0,7.0,1-2,1.0,2.0,2-2,2.0,2.0,1.0,6.0,7.0,6.0,1.0,0.0,2.0,1.0,3.0,13.0,None
401585105,Jeremy Sochan,4610139,F ,SA,true,33.0,3-11,3.0,11.0,1-5,1.0,5.0,2-2,2.0,2.0,2.0,6.0,8.0,5.0,2.0,1.0,1.0,1.0,-14.0,9.0,None
401585105,Keldon Johnson,4395723,SF,SA,false,30.0,5-17,5.0,17.0,2-8,2.0,8.0,2-2,2.0,2.0,2.0,8.0,10.0,1.0,0.0,0.0,1.0,1.0,7.0,14.0,None
401585106,Klay Thompson,6475,SG,GS,true,35.0,9-18,9.0,18.0,4-10,4.0,10.0,2-2,2.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,-9.0,24.0,None
401585105,Cedi Osman,3893016,SF,SA,false,28.0,4-7,4.0,7.0,3-6,3.0,6.0,2-3,2.0,3.0,0.0,2.0,2.0,5.0,3.0,0.0,1.0,3.0,10.0,13.0,None
401585106,Stephen Curry,3975,PG,GS,true,35.0,11-23,11.0,23.0,5-12,5.0,12.0,3-3,3.0,3.0,0.0,4.0,4.0,6.0,1.0,1.0,2.0,1.0,-1.0,30.0,None
401585105,Tre Jones,4395626,PG,SA,true,35.0,7-13,7.0,13.0,0-2,0.0,2.0,4-4,4.0,4.0,2.0,3.0,5.0,6.0,1.0,0.0,3.0,2.0,-9.0,18.0,None
401585105,Damian Lillard,6606,PG,MIL,true,39.0,10-19,10.0,19.0,1-6,1.0,6.0,4-4,4.0,4.0,1.0,3.0,4.0,10.0,1.0,0.0,0.0,3.0,11.0,25.0,None
401585105,Giannis Antetokounmpo,3032977,PF,MIL,true,40.0,19-28,19.0,28.0,2-3,2.0,3.0,4-6,4.0,6.0,3.0,11.0,14.0,7.0,2.0,1.0,1.0,3.0,11.0,44.0,None
401585105,Cameron Payne,3064230,PG,MIL,false,15.0,0-3,0.0,3.0,0-3,0.0,3.0,5-5,5.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,-4.0,5.0,None
401585106,Peyton Watson,4576087,F ,DEN,false,19.0,6-10,6.0,10.0,2-4,2.0,4.0,5-6,5.0,6.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,19.0,None
401585105,Victor Wembanyama,5104157,C ,SA,true,26.0,10-18,10.0,18.0,2-8,2.0,8.0,5-6,5.0,6.0,3.0,6.0,9.0,1.0,1.0,5.0,5.0,5.0,-11.0,27.0,None
401585106,Jonathan Kuminga,4433247,PF,GS,true,19.0,5-7,5.0,7.0,0-1,0.0,1.0,6-7,6.0,7.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,6.0,16.0,None
401585106,Aaron Gordon,3064290,PF,DEN,true,35.0,11-17,11.0,17.0,2-4,2.0,4.0,6-7,6.0,7.0,5.0,4.0,9.0,2.0,0.0,1.0,0.0,2.0,6.0,30.0,None
401585106,Nikola Jokic,3112335,C ,DEN,true,38.0,13-16,13.0,16.0,2-2,2.0,2.0,6-7,6.0,7.0,2.0,7.0,9.0,10.0,2.0,1.0,4.0,2.0,4.0,34.0,None
401585106,Jamal Murray,3936299,PG,DEN,true,32.0,8-16,8.0,16.0,1-6,1.0,6.0,8-9,8.0,9.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,4.0,9.0,25.0,None
